Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
3.499973887E+1	4.104000000E+3	3.473553814E+0	6.200761418E-4	-1.031353138E-3	1.292089466E-3	4.642345943E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	3.518123197E+0	6.205411628E-4	-1.030976651E-3	1.291111694E-3	4.642559681E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.554010224E+0	6.208760897E-4	-1.030662795E-3	1.290223445E-3	4.642701708E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.604904361E+0	6.211554282E-4	-1.030319137E-3	1.288926229E-3	4.642861430E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.640774747E+0	6.212612498E-4	-1.030095271E-3	1.287920168E-3	4.642970394E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.684237484E+0	6.212681765E-4	-1.029837644E-3	1.286821207E-3	4.643066786E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.721442141E+0	6.211604341E-4	-1.029647538E-3	1.285856590E-3	4.643145949E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.773694647E+0	6.208143313E-4	-1.029400737E-3	1.284477999E-3	4.643206019E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.817700653E+0	6.203695666E-4	-1.029224484E-3	1.283618738E-3	4.643187858E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.869088974E+0	6.196685717E-4	-1.029043458E-3	1.282811398E-3	4.643080290E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.904364111E+0	6.190447602E-4	-1.028930303E-3	1.282222802E-3	4.642884713E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.942264290E+0	6.182526704E-4	-1.028825180E-3	1.281802426E-3	4.642619286E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	3.985806725E+0	6.171921850E-4	-1.028732047E-3	1.281435136E-3	4.642145243E-3	1.772200000E+0
3.499973887E+1	4.104000000E+3	4.024605455E+0	6.162756472E-4	-1.028686296E-3	1.281302189E-3	4.641762469E-3	1.772200000E+0
3.499972986E+1	4.104000000E+3	4.059947693E+0	6.152493297E-4	-1.028668950E-3	1.281270525E-3	4.641224164E-3	1.772200000E+0
3.499972986E+1	4.104000000E+3	4.104839635E+0	6.139258039E-4	-1.028695959E-3	1.281387522E-3	4.640648141E-3	1.772200000E+0
3.499972986E+1	4.104000000E+3	4.140569568E+0	6.128586247E-4	-1.028757892E-3	1.281562610E-3	4.640137311E-3	1.772200000E+0
3.499972084E+1	4.104000000E+3	4.176225963E+0	6.115311407E-4	-1.028886880E-3	1.281844103E-3	4.639492836E-3	1.772200000E+0
3.499971183E+1	4.104000000E+3	4.220691932E+0	6.103663473E-4	-1.029049978E-3	1.282134443E-3	4.638943355E-3	1.772200000E+0
3.499972084E+1	4.104000000E+3	4.266811068E+0	6.090468378E-4	-1.029296662E-3	1.282507205E-3	4.638318438E-3	1.772200000E+0
3.499972084E+1	4.104000000E+3	4.304867297E+0	6.079552113E-4	-1.029555919E-3	1.282892772E-3	4.637763370E-3	1.772200000E+0
3.499971183E+1	4.104000000E+3	4.344416882E+0	6.069563678E-4	-1.029842417E-3	1.283307327E-3	4.637198523E-3	1.772200000E+0
3.499971183E+1	4.104000000E+3	4.385681280E+0	6.059277803E-4	-1.030192943E-3	1.283726422E-3	4.636656027E-3	1.772200000E+0
3.499970281E+1	4.104000000E+3	4.423079089E+0	6.051763776E-4	-1.030488871E-3	1.284209429E-3	4.636062775E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.462083546E+0	6.044289912E-4	-1.030820189E-3	1.284666592E-3	4.635530524E-3	1.772200000E+0
3.499968478E+1	4.104000000E+3	4.505753889E+0	6.036427803E-4	-1.031211112E-3	1.285271486E-3	4.634933546E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.545254087E+0	6.031586090E-4	-1.031472813E-3	1.285795122E-3	4.634501413E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.583757700E+0	6.027010968E-4	-1.031731372E-3	1.286488143E-3	4.634055775E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.627885707E+0	6.022753078E-4	-1.031972468E-3	1.287114341E-3	4.633760545E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.667341129E+0	6.019858411E-4	-1.032123691E-3	1.287807594E-3	4.633526318E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.709128066E+0	6.017439882E-4	-1.032223343E-3	1.288380125E-3	4.633413628E-3	1.772200000E+0
3.499969380E+1	4.104000000E+3	4.745254565E+0	6.015840336E-4	-1.032255357E-3	1.288985601E-3	4.633355420E-3	1.772200000E+0
3.499970281E+1	4.104000000E+3	4.782829574E+0	6.014560931E-4	-1.032233122E-3	1.289519365E-3	4.633361474E-3	1.772200000E+0
3.499968478E+1	4.104000000E+3	4.821898663E+0	6.013663369E-4	-1.032149885E-3	1.289991313E-3	4.633436445E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	4.859439848E+0	6.013126112E-4	-1.032001805E-3	1.290422166E-3	4.633580800E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	4.905016332E+0	6.012944505E-4	-1.031729509E-3	1.290771877E-3	4.633818287E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	4.944401709E+0	6.013117381E-4	-1.031482941E-3	1.290949876E-3	4.634048324E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	4.986999743E+0	6.013669772E-4	-1.031108433E-3	1.291066874E-3	4.634348676E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.026628522E+0	6.014487590E-4	-1.030710991E-3	1.291072462E-3	4.634602927E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.062645172E+0	6.015448598E-4	-1.030319720E-3	1.291020773E-3	4.634805955E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.105016585E+0	6.017159321E-4	-1.029717503E-3	1.290853717E-3	4.635088146E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.145780472E+0	6.018884014E-4	-1.029181527E-3	1.290637185E-3	4.635276739E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.185030161E+0	6.020878209E-4	-1.028621220E-3	1.290366286E-3	4.635447636E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.222323576E+0	6.023245514E-4	-1.028019004E-3	1.289982581E-3	4.635627847E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.262703542E+0	6.026029005E-4	-1.027382212E-3	1.289534382E-3	4.635779653E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.305208807E+0	6.029848591E-4	-1.026613172E-3	1.288896194E-3	4.635966383E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.345389900E+0	6.033122772E-4	-1.026037149E-3	1.288338331E-3	4.636115395E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.379576190E+0	6.036750274E-4	-1.025477075E-3	1.287664636E-3	4.636315163E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.415181572E+0	6.040745648E-4	-1.024944941E-3	1.286988030E-3	4.636551253E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.450081735E+0	6.045110640E-4	-1.024453552E-3	1.286193146E-3	4.636867903E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.505454695E+0	6.052869721E-4	-1.023781253E-3	1.284924685E-3	4.637530539E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.544197352E+0	6.058777217E-4	-1.023420365E-3	1.283989172E-3	4.638127051E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.585090902E+0	6.065309281E-4	-1.023155521E-3	1.283082529E-3	4.638808314E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	5.626437119E+0	6.071720272E-4	-1.023020712E-3	1.282209996E-3	4.639553838E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	5.667812471E+0	6.079142331E-4	-1.023010351E-3	1.281428849E-3	4.640314728E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	5.705809162E+0	6.085202331E-4	-1.023114892E-3	1.280808472E-3	4.641006701E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	5.739412728E+0	6.091878167E-4	-1.023349585E-3	1.280122087E-3	4.641874228E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	5.784030343E+0	6.098838639E-4	-1.023737248E-3	1.279538963E-3	4.642764106E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	5.822820824E+0	6.104494678E-4	-1.024174853E-3	1.279045362E-3	4.643664230E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.862089558E+0	6.110014510E-4	-1.024732366E-3	1.278664335E-3	4.644497298E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.905175666E+0	6.115260767E-4	-1.025422243E-3	1.278324285E-3	4.645330831E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.941722828E+0	6.119320751E-4	-1.026117476E-3	1.277987962E-3	4.646133166E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	5.982005642E+0	6.122560008E-4	-1.026847516E-3	1.277674222E-3	4.646829795E-3	1.772200000E+0
3.499968478E+1	4.104000000E+3	6.020023173E+0	6.124903448E-4	-1.027576625E-3	1.277344301E-3	4.647428636E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	6.059870913E+0	6.126324879E-4	-1.028239960E-3	1.277055126E-3	4.647853784E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	6.105910082E+0	6.127202651E-4	-1.029163948E-3	1.276633004E-3	4.648314789E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	6.143508038E+0	6.127058296E-4	-1.029766630E-3	1.276230323E-3	4.648560658E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	6.206455131E+0	6.125328364E-4	-1.030784799E-3	1.275739516E-3	4.648620263E-3	1.772200000E+0
3.499965774E+1	4.104000000E+3	6.246908033E+0	6.123639760E-4	-1.031283406E-3	1.275394810E-3	4.648513626E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	6.284975872E+0	6.121495972E-4	-1.031728811E-3	1.275053597E-3	4.648333881E-3	1.772200000E+0
3.499966676E+1	4.104000000E+3	6.322022727E+0	6.119075115E-4	-1.032101922E-3	1.274675364E-3	4.648060538E-3	1.772200000E+0
3.499967577E+1	4.104000000E+3	6.361546872E+0	6.115622819E-4	-1.032493427E-3	1.274280250E-3	4.647639114E-3	1.772300000E+0
3.499967577E+1	4.104000000E+3	6.411050984E+0	6.112617557E-4	-1.032745466E-3	1.274024718E-3	4.647251684E-3	1.772300000E+0
3.499965774E+1	4.104000000E+3	6.446889299E+0	6.109834067E-4	-1.032926841E-3	1.273815869E-3	4.646777175E-3	1.772300000E+0
3.499965774E+1	4.104000000E+3	6.484144138E+0	6.106544752E-4	-1.033093198E-3	1.273642178E-3	4.646205343E-3	1.772300000E+0
3.499965774E+1	4.104000000E+3	6.523267986E+0	6.103584892E-4	-1.033210079E-3	1.273485715E-3	4.645513371E-3	1.772300000E+0
3.499965774E+1	4.104000000E+3	6.559023220E+0	6.100801984E-4	-1.033300185E-3	1.273370231E-3	4.644791130E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.605356130E+0	6.097374135E-4	-1.033395645E-3	1.273230882E-3	4.643739201E-3	1.772300000E+0
3.499967577E+1	4.104000000E+3	6.643046043E+0	6.094576674E-4	-1.033470849E-3	1.273136353E-3	4.642876796E-3	1.772300000E+0
3.499968478E+1	4.104000000E+3	6.677874002E+0	6.092093536E-4	-1.033545123E-3	1.273030415E-3	4.641837440E-3	1.772300000E+0
3.499968478E+1	4.104000000E+3	6.720147473E+0	6.089828093E-4	-1.033632318E-3	1.272898982E-3	4.640764557E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.761864711E+0	6.088064983E-4	-1.033734297E-3	1.272753580E-3	4.639650229E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.805675514E+0	6.086886860E-4	-1.033862936E-3	1.272590016E-3	4.638549872E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.843350827E+0	6.086557987E-4	-1.033984358E-3	1.272434834E-3	4.637547303E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.879231393E+0	6.086960202E-4	-1.034137793E-3	1.272264519E-3	4.636551719E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.916810289E+0	6.088052178E-4	-1.034285640E-3	1.272045309E-3	4.635557532E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	6.954894455E+0	6.090112729E-4	-1.034458284E-3	1.271753572E-3	4.634498153E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.005690958E+0	6.094399141E-4	-1.034700079E-3	1.271291752E-3	4.633252043E-3	1.772300000E+0
3.499967577E+1	4.104000000E+3	7.041098131E+0	6.098619779E-4	-1.034873189E-3	1.270829001E-3	4.632245749E-3	1.772300000E+0
3.499967577E+1	4.104000000E+3	7.078172847E+0	6.103754859E-4	-1.035036054E-3	1.270281151E-3	4.631239455E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.117282244E+0	6.110180984E-4	-1.035189722E-3	1.269651810E-3	4.630222917E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.156367936E+0	6.118610036E-4	-1.035328722E-3	1.268929336E-3	4.629129544E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.205264875E+0	6.127426750E-4	-1.035411959E-3	1.268138527E-3	4.628021270E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.240381528E+0	6.135160220E-4	-1.035438967E-3	1.267254935E-3	4.626819864E-3	1.772300000E+0
3.499965774E+1	4.104000000E+3	7.303961312E+0	6.150185945E-4	-1.035373542E-3	1.266127336E-3	4.625336267E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.345433383E+0	6.158943870E-4	-1.035259687E-3	1.265470521E-3	4.624430090E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.383091246E+0	6.166409585E-4	-1.035110909E-3	1.264883205E-3	4.623553716E-3	1.772300000E+0
3.499966676E+1	4.104000000E+3	7.420518098E+0	6.174351438E-4	-1.034886460E-3	1.264343737E-3	4.622596316E-3	1.772300000E+0
3.499964873E+1	4.104000000E+3	7.461294633E+0	6.180942874E-4	-1.034625457E-3	1.263982384E-3	4.621752072E-3	1.772300000E+0
3.499964873E+1	4.104000000E+3	7.505298205E+0	6.187085528E-4	-1.034270390E-3	1.263691811E-3	4.620747641E-3	1.772300000E+0
3.499964873E+1	4.104000000E+3	7.546887881E+0	6.190566928E-4	-1.033945475E-3	1.263606944E-3	4.620051011E-3	1.772300000E+0
3.499963971E+1	4.104000000E+3	7.585236071E+0	6.192240981E-4	-1.033631386E-3	1.263626153E-3	4.619470332E-3	1.772300000E+0
