Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499982000E+1	0.000000000E+0	2.625789559E+0	9.645847022E-4	1.586023834E-3	1.521286788E-3	1.869101427E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	2.659702889E+0	9.645181708E-4	1.586015918E-3	1.521271421E-3	1.869244501E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.702493725E+0	9.644595557E-4	1.585982973E-3	1.521279919E-3	1.869361848E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.740577978E+0	9.644035599E-4	1.585928956E-3	1.521307160E-3	1.869427971E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.800978463E+0	9.643044905E-4	1.585840364E-3	1.521366765E-3	1.869448693E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.838027977E+0	9.642033256E-4	1.585781691E-3	1.521421014E-3	1.869411906E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.881413217E+0	9.640492499E-4	1.585728140E-3	1.521498663E-3	1.869348809E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.918857837E+0	9.638689226E-4	1.585695078E-3	1.521602506E-3	1.869256492E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.956187089E+0	9.635749157E-4	1.585675404E-3	1.521793078E-3	1.869091997E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.002136221E+0	9.631757857E-4	1.585682388E-3	1.522009145E-3	1.868940308E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.039953811E+0	9.628011030E-4	1.585706253E-3	1.522243023E-3	1.868805732E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.076777736E+0	9.623173391E-4	1.585747814E-3	1.522520557E-3	1.868706895E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.114651064E+0	9.617680917E-4	1.585799735E-3	1.522870501E-3	1.868656953E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.154649836E+0	9.610235575E-4	1.585865393E-3	1.523242565E-3	1.868662541E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.203489404E+0	9.598974138E-4	1.585934777E-3	1.523873303E-3	1.868795720E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.250804565E+0	9.590709233E-4	1.585953170E-3	1.524294610E-3	1.868944150E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.302461134E+0	9.578206809E-4	1.585918013E-3	1.524946303E-3	1.869279309E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.341854343E+0	9.567727102E-4	1.585824182E-3	1.525396714E-3	1.869566739E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.377141100E+0	9.557824233E-4	1.585677033E-3	1.525831758E-3	1.869883621E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	3.413703279E+0	9.546543588E-4	1.585437451E-3	1.526338165E-3	1.870284439E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.448475195E+0	9.535909048E-4	1.585137565E-3	1.526917913E-3	1.870730426E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.502570965E+0	9.519527084E-4	1.584525919E-3	1.527843764E-3	1.871414133E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.540881482E+0	9.506919305E-4	1.583922654E-3	1.528617460E-3	1.871947315E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.577814340E+0	9.496999555E-4	1.583358622E-3	1.529389643E-3	1.872462337E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.617275752E+0	9.485477931E-4	1.582593308E-3	1.530171256E-3	1.872968045E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	3.652939500E+0	9.474583785E-4	1.581743825E-3	1.531011076E-3	1.873468398E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.702917231E+0	9.462762391E-4	1.580650336E-3	1.532015041E-3	1.874018111E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	3.740516457E+0	9.454163956E-4	1.579704811E-3	1.532711321E-3	1.874342794E-3	1.755800000E+0
3.499987409E+1	0.000000000E+0	3.777755271E+0	9.446656331E-4	1.578725874E-3	1.533346833E-3	1.874599373E-3	1.755800000E+0
3.499987409E+1	0.000000000E+0	3.814905887E+0	9.441160364E-4	1.577860094E-3	1.533890725E-3	1.874775276E-3	1.755800000E+0
3.499989212E+1	0.000000000E+0	3.854194779E+0	9.436520049E-4	1.576932729E-3	1.534360927E-3	1.874864916E-3	1.755800000E+0
3.499988310E+1	0.000000000E+0	3.903310342E+0	9.433114901E-4	1.575890346E-3	1.534744748E-3	1.874844427E-3	1.755800000E+0
3.499989212E+1	0.000000000E+0	3.949067040E+0	9.432320949E-4	1.575013041E-3	1.534870244E-3	1.874684240E-3	1.755800000E+0
